# Col1 =Q, Col2 = Transmittivity, COl3 = Penetration depth
3.29E-02,1.31E+00,1.39E+05
3.30E-02,1.30E+00,1.39E+05
3.31E-02,1.30E+00,1.40E+05
3.32E-02,1.30E+00,1.41E+05
3.33E-02,1.30E+00,1.42E+05
3.34E-02,1.29E+00,1.42E+05
3.35E-02,1.29E+00,1.43E+05
3.36E-02,1.29E+00,1.44E+05
3.37E-02,1.29E+00,1.45E+05
3.38E-02,1.28E+00,1.45E+05
3.39E-02,1.28E+00,1.46E+05
3.40E-02,1.28E+00,1.47E+05
3.41E-02,1.28E+00,1.48E+05
3.42E-02,1.27E+00,1.48E+05
3.43E-02,1.27E+00,1.49E+05
3.44E-02,1.27E+00,1.50E+05
3.45E-02,1.27E+00,1.51E+05
3.46E-02,1.27E+00,1.51E+05
3.47E-02,1.26E+00,1.52E+05
3.48E-02,1.26E+00,1.53E+05
3.49E-02,1.26E+00,1.53E+05
3.50E-02,1.26E+00,1.54E+05
